year,days,total_return,cagr,sharpe,max_drawdown,trades,win_rate,profit_factor,mean_r,median_holding_days,minimum_equity,maximum_initial_gross,final_equity,reconciled_equity,reconciliation_error
2021,365,0.061305255924549495,0.06147875130635816,1.62843413562161,-0.020855208479860332,42,0.5714285714285714,2.0391396514542888,0.4094146512948217,6.5,0.9979319498425446,0.11481024183645944,1.0613052559245502,1.0613052559245484,1.7763568394002505e-15
2022,365,0.0077884095585365465,0.007809889624769806,0.29650186525635397,-0.031058248133466138,18,0.4444444444444444,1.236131791996991,0.12989276511659,15.0,0.996645113381412,0.08660922324082704,1.007788409558536,1.0077884095585377,1.5543122344752192e-15
2023,365,0.026405887853422128,0.026479383601435647,0.8239365376070612,-0.025665091699480724,28,0.6071428571428571,1.686887669181591,0.2708632079016661,9.0,0.9899014780005059,0.191517376203251,1.0264058878534215,1.0264058878534186,2.886579864025407e-15
2024,366,0.018379729904954845,0.018379729904954845,0.5889395627938163,-0.024255329042364826,29,0.5862068965517241,1.4380658194775562,0.18471764268871507,9.0,0.9883503529607237,0.18037898931221863,1.018379729904955,1.0183797299049555,4.440892098500626e-16
2025,365,0.01766735736497438,0.017716321493570497,0.7562085051453856,-0.017919472663768476,24,0.625,1.5837289633374387,0.21101518816250162,6.5,0.995145277435617,0.20583046645424713,1.017667357364975,1.0176673573649753,2.220446049250313e-16
2026,243,0.05331476227943899,0.08149293701798555,2.2104337361425554,-0.010118946880397495,13,0.8461538461538461,9.649790227829268,1.1558810528756773,9.0,1.0,0.29298830975799517,1.053314762279439,1.0533147622794379,1.1102230246251565e-15
