year,days,total_return,cagr,sharpe,max_drawdown,trades,win_rate,profit_factor,mean_r,median_holding_days,minimum_equity,maximum_initial_gross,final_equity,reconciled_equity,reconciliation_error
2021,365,-0.002376198778553773,-0.0023827190137832854,-0.028370489827196727,-0.04211050446360676,71,0.5352112676056338,0.9773379035609767,-0.0059806751015955935,8.0,0.9774893187441664,0.11426415633442011,0.9976238012214477,0.9976238012214508,3.1086244689504383e-15
2022,365,0.03447048546677167,0.03456680281181557,0.7378128331739618,-0.036259012963022474,62,0.5,1.3822394328480905,0.16149787367254573,11.0,0.9736656823691657,0.16747082272971475,1.0344704854667714,1.0344704854667708,6.661338147750939e-16
2023,365,-0.005539964120457985,-0.005555141449975931,-0.12768168428378618,-0.050589627466745335,73,0.4657534246575342,0.9512018255218789,-0.01870083578841219,7.0,0.952505166689941,0.293734794902471,0.994460035879543,0.9944600358795428,2.220446049250313e-16
2024,366,-0.018779064335607498,-0.018779064335607498,-0.3574693196677967,-0.061578013694382094,72,0.4305555555555556,0.8537655555036535,-0.0704161775890855,8.0,0.979453257519274,0.17943287255694848,0.9812209356643923,0.9812209356643896,2.6645352591003757e-15
2025,365,-0.037892338195044006,-0.03799443492015586,-0.9942592139241047,-0.052131203310496366,62,0.4032258064516129,0.6399205367289478,-0.17456227500108837,9.5,0.9514374340849301,0.2128850555798498,0.9621076618049571,0.9621076618049565,5.551115123125783e-16
2026,243,-0.031521770446690356,-0.047160320934459654,-0.8757334336187722,-0.06171439700450698,54,0.4074074074074074,0.6763484985042971,-0.1638778312818643,8.0,0.966738630830843,0.2802218407847167,0.9684782295533102,0.968478229553309,1.2212453270876722e-15
