side,trades,win_rate,profit_factor,mean_r,median_holding_days
LONG,239,0.47280334728033474,0.9287770727223021,-0.028088964548069605,8.0
SHORT,155,0.43870967741935485,0.8674081786273199,-0.06326378694053683,11.0
