symbol,trades,win_rate,profit_factor,mean_r,net_pnl,tp1_rate,tp2_rate,tp3_rate,median_holding_days
BNBUSDT,41,0.5609756097560976,1.754121200427405,0.34090413263907915,0.04953092173008795,0.5609756097560976,0.3902439024390244,0.17073170731707318,6.291666666666667
BTCUSDT,38,0.5,1.1550439656759723,0.08060575050416079,0.0100438308119357,0.5526315789473685,0.3157894736842105,0.10526315789473684,12.104166666666666
ETHUSDT,36,0.6666666666666666,3.0436182119338837,0.5461923422580758,0.06926504870013556,0.75,0.4444444444444444,0.16666666666666666,10.854166666666666
SOLUSDT,41,0.7317073170731707,2.2834613037703257,0.3599381038757976,0.0521829572019017,0.7073170731707317,0.36585365853658536,0.07317073170731707,7.666666666666667
