date,return,equity,cash,gross_exposure,open_positions
2021-01-01 00:00:00+00:00,0.0,1.0,1.0,0.0,0
2021-01-02 00:00:00+00:00,0.0,1.0,1.0,0.0,0
2021-01-03 00:00:00+00:00,0.007008020939917925,1.007008020939918,1.0024258659109788,0.051099820025200186,2
2021-01-04 00:00:00+00:00,-0.0017150172219028148,1.0052809848414117,1.0053855233386646,0.026907729956278163,1
2021-01-05 00:00:00+00:00,0.0016453117559867003,1.0069349854638412,1.0052158314600743,0.05345968191848124,2
2021-01-06 00:00:00+00:00,0.002492687343001565,1.0094449595573323,1.0055513857876766,0.05053615144198877,2
2021-01-07 00:00:00+00:00,0.0027747327094667096,1.0122458995050223,1.0051502200744824,0.0818956737931543,3
2021-01-08 00:00:00+00:00,-0.0002315115082176522,1.0120115529301408,1.0055632835294301,0.07560640146644115,3
2021-01-09 00:00:00+00:00,0.002329145470725935,1.0143686750549703,1.005345734048921,0.09253904085093033,4
2021-01-10 00:00:00+00:00,-0.0038222121825689515,1.010491542747559,1.008742135786363,0.043229709279833155,2
2021-01-11 00:00:00+00:00,-0.005841353991411058,1.0045889039410434,1.005154028722588,0.014149425756800962,1
2021-01-12 00:00:00+00:00,0.002412261095788182,1.0070122346712809,1.0051517264619103,0.01652411810941573,1
2021-01-13 00:00:00+00:00,-0.0004598962308557386,1.0065491135401299,1.005140429932887,0.016082836181010456,1
2021-01-14 00:00:00+00:00,-0.0010911679939712426,1.0054507993630748,1.0051164032869824,0.015031940876302517,1
2021-01-15 00:00:00+00:00,-0.00023843100106069048,1.0052110687224654,1.005099144658588,0.01481420710654066,1
2021-01-16 00:00:00+00:00,0.000765796204324376,1.005980855543438,1.0050455556817746,0.015621351707670893,1
2021-01-17 00:00:00+00:00,0.001959702383028672,1.0079522786233277,1.0057108616326305,0.01395403532901273,1
2021-01-18 00:00:00+00:00,-0.0005158274969770948,1.0074323491223731,1.0055414728413845,0.03594979264204172,2
2021-01-19 00:00:00+00:00,-0.002179874145439964,1.0052362733912414,1.0054009271620403,0.03398350706625451,2
2021-01-20 00:00:00+00:00,0.000429571078030655,1.0056680938208777,1.0053321393155699,0.04933519760511261,3
2021-01-21 00:00:00+00:00,-0.006716885571298903,0.9989131363119766,1.0017142248984257,0.0121649048645729,1
2021-01-22 00:00:00+00:00,-0.0007433554671002485,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-23 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-24 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-25 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-26 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-27 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-28 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-29 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-30 00:00:00+00:00,0.0,0.9981705887709409,0.9981705887709409,0.0,0
2021-01-31 00:00:00+00:00,-1.2369504913567475e-05,0.9981582418949385,0.9980983064803332,0.013615112199611475,1
2021-02-01 00:00:00+00:00,0.0011401933471626435,0.9992963352817628,0.9980867876061633,0.01475002779151055,1
2021-02-02 00:00:00+00:00,0.0017253320475432155,1.0010204532740168,0.9987174588691922,0.03850290642393957,2
2021-02-03 00:00:00+00:00,0.0033599289325143555,1.004383810857011,0.9985836486599317,0.05876538464206345,3
