test_year,candidate,days,total_return,cagr,sharpe,max_drawdown,trades,win_rate,profit_factor,mean_r,median_holding_days,selected
2020,ALL,866,0.013507727036273343,0.005677697270755955,0.2718173431322007,-0.03184154514582849,23,0.5217391304347826,1.3406956682935895,0.1213889578323344,9.0,True
2020,TOP1,866,-0.0023056215676039438,-0.0009735414262221909,-0.04748819159475476,-0.02378378543130799,18,0.4444444444444444,0.9384741775531624,-0.023109345197190528,9.5,False
2020,TOP2,866,0.012564760480834991,0.0052827659065233235,0.26593421295409253,-0.030354797166131986,23,0.5217391304347826,1.317122735000519,0.11228658192685273,9.0,False
2021,ALL,1096,0.12202813322431139,0.039125291770329085,1.132712332592211,-0.04173254797019177,63,0.6507936507936508,2.3502737617233453,0.3705210657578518,9.0,False
2021,TOP1,1096,0.06672136536956264,0.02176337461453004,0.8046399505334909,-0.025142410956167316,46,0.5869565217391305,1.8837185637318923,0.2853553559874867,10.0,False
2021,TOP2,1096,0.11700160137947146,0.03757125599671718,1.1625618317487334,-0.03743726765976041,60,0.6333333333333333,2.3557470455832554,0.37309597453529203,9.0,True
2022,ALL,1096,0.18680864149379683,0.058750349315282335,1.1587597840608896,-0.05770198371156798,126,0.6111111111111112,1.771799737713552,0.278280751975363,8.0,False
2022,TOP1,1096,0.1467295378544604,0.04669544236489753,1.2972279639574644,-0.027013512558297093,81,0.6049382716049383,1.9880643224513181,0.3441516689333963,8.0,False
2022,TOP2,1096,0.193568853103407,0.06075680293188346,1.3262269156496465,-0.044598774746714476,113,0.6194690265486725,1.9216482560832369,0.3190484145350665,8.0,True
2023,ALL,1096,0.17306110237929961,0.054646408575244054,1.1663296446147602,-0.05761489013474297,103,0.6310679611650486,1.8756909857824147,0.31668264969007914,8.0,False
2023,TOP1,1096,0.14937957218545495,0.047501108919510315,1.4588052536170726,-0.027013512558297537,63,0.6507936507936508,2.342320939412482,0.4490833872564212,8.0,True
2023,TOP2,1096,0.1808198787804287,0.05696648977969998,1.3590889218683917,-0.04451139318591901,90,0.6444444444444445,2.0877877243614003,0.37574181841634463,8.0,False
2024,ALL,1095,0.09153466812337885,0.029652711932563802,0.6173997748354209,-0.08981465233518371,116,0.5344827586206896,1.38151931492663,0.15835070700086712,7.0,False
2024,TOP1,1095,0.09257501385511557,0.029980028964402328,0.9148509763178507,-0.05329288826454748,69,0.5652173913043478,1.6625997818363385,0.26319037643678567,7.0,True
2024,TOP2,1095,0.08995455013066556,0.029155172071975377,0.6719680340440543,-0.08260683175774663,101,0.5544554455445545,1.4340227649122181,0.1773600489809606,7.0,False
2025,ALL,1096,0.06298601789473657,0.020569340579001505,0.42702886942744467,-0.059056259849543435,106,0.49056603773584906,1.2677263532189593,0.12327820624279534,8.0,False
2025,TOP1,1096,0.06367976357933292,0.020791313271545597,0.5942548541187773,-0.03237797967857159,70,0.4857142857142857,1.4393435156171204,0.18307278873920904,8.0,True
2025,TOP2,1096,0.07430679662886464,0.02417956847093561,0.5181520789502332,-0.04908761943857565,96,0.5208333333333334,1.376083601374214,0.15728630566026156,8.5,False
2026,ALL,1096,0.06187234457961277,0.02021280468900377,0.37796016676329597,-0.08666183770449776,140,0.5,1.196886793456448,0.09346708266784166,8.0,False
2026,TOP1,1096,0.05707846565177577,0.018675220284010363,0.4708683042457478,-0.04291146662495193,94,0.48936170212765956,1.2754311323687513,0.12418767440695487,9.0,True
2026,TOP2,1096,0.0513278349853159,0.016824622889316077,0.3330879892179852,-0.06926742445435041,129,0.49612403100775193,1.176941118988983,0.08499321127316131,9.0,False
