date,return,equity,cash,gross_exposure,open_positions,test_year,selected_candidate
2020-01-01 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-02 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-03 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-04 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-05 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-06 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-07 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-08 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-09 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-10 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-11 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-12 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-13 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-14 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-15 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-16 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-17 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-18 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-19 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-20 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-21 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-22 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-23 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-24 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-25 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-26 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-27 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-28 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-29 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-30 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-01-31 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-01 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-02 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-03 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-04 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-05 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-06 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-07 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-08 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-09 00:00:00+00:00,0.0,1.0,1.0,0.0,0,2020,ALL
2020-02-10 00:00:00+00:00,-0.001589680346248179,0.9984103196537518,0.9402964332273035,0.05820641602202412,1,2020,ALL
2020-02-11 00:00:00+00:00,0.003603789048875816,1.0020083798300046,0.9402964332273035,0.061588253995611186,1,2020,ALL
2020-02-12 00:00:00+00:00,0.006393389634262725,1.008414609819054,0.9737715478176983,0.0343539866083178,1,2020,ALL
2020-02-13 00:00:00+00:00,0.0003335338505661145,1.0087509502268341,0.9737715478176983,0.034675954854139435,1,2020,ALL
2020-02-14 00:00:00+00:00,0.0022187956113008944,1.0109891624080931,1.0109891624080931,0.0,0,2020,ALL
2020-02-15 00:00:00+00:00,0.0,1.0109891624080931,1.0109891624080931,0.0,0,2020,ALL
2020-02-16 00:00:00+00:00,0.0,1.0109891624080931,1.0109891624080931,0.0,0,2020,ALL
2020-02-17 00:00:00+00:00,0.0012947793012485498,1.0122981702493656,0.9707667069275338,0.041026907429459344,1,2020,ALL
2020-02-18 00:00:00+00:00,0.0022608069951792764,1.0145867810338727,0.9707667069275338,0.04319007001223287,1,2020,ALL
2020-02-19 00:00:00+00:00,-0.003692268820974398,1.0108406538960886,0.9707667069275338,0.03964417815419044,1,2020,ALL
2020-02-20 00:00:00+00:00,-0.00022855417082501273,1.0106096220486012,0.9707667069275338,0.039424634648047414,1,2020,ALL
2020-02-21 00:00:00+00:00,0.001274979428414147,1.0118981285268704,0.9707667069275338,0.040647788981699275,1,2020,ALL
2020-02-22 00:00:00+00:00,-0.0005669575120907933,1.0113244252814315,0.9707667069275338,0.04010356848902513,1,2020,ALL
2020-02-23 00:00:00+00:00,0.0019793442259943284,1.0133261844432193,0.9707667069275338,0.041999780691614405,1,2020,ALL
2020-02-24 00:00:00+00:00,-0.001371021695558361,1.0119368922596703,0.9707667069275338,0.04068453838084994,1,2020,ALL
2020-02-25 00:00:00+00:00,-0.0028883080313309994,1.0090141068065566,0.9707667069275338,0.03790571372690965,1,2020,ALL
2020-02-26 00:00:00+00:00,-0.003201490426785858,1.0057837578031235,1.0057837578031235,0.0,0,2020,ALL
2020-02-27 00:00:00+00:00,0.0,1.0057837578031235,1.0057837578031235,0.0,0,2020,ALL
2020-02-28 00:00:00+00:00,0.0,1.0057837578031235,1.0057837578031235,0.0,0,2020,ALL
2020-02-29 00:00:00+00:00,0.0,1.0057837578031235,1.0057837578031235,0.0,0,2020,ALL
