year,days,total_return,cagr,sharpe,max_drawdown,trades,win_rate,profit_factor,mean_r,median_holding_days
2020,366,0.10707407875949504,0.10707407875949504,2.0908520964666293,-0.024639875363320685,40,0.725,3.1393702882717283,0.5137720278150245,8.5
2021,365,0.0571691888593564,0.05733066565889611,1.059132650267452,-0.04459877474671514,53,0.6037735849056604,1.5218557031481748,0.21670695361915335,7.0
2022,365,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2023,365,0.022763366363434123,0.022826611472593017,0.5738688974296092,-0.03237797967857159,34,0.5,1.3391084412996042,0.1376206230821673,7.0
2024,366,0.038846447087995006,0.038846447087995006,0.8492968936234446,-0.030292155352324657,36,0.4722222222222222,1.525268366006086,0.21772692670958177,8.5
2025,365,-0.012155350229731687,-0.012188539707327584,-0.35081934787739155,-0.03370738602832857,24,0.4166666666666667,0.7960534199419489,-0.09744705194808591,10.5
2026,243,0.00025524541819632596,0.0003850025645062427,0.08301364371314358,-0.0028798879305114156,2,0.5,2.478247548692962,0.02559215347809449,3.5
