symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only,test_year,selected_candidate
ETHUSDT,LONG,1d,2020-02-10 00:00:00+00:00,228.53,209.353,247.707,266.884,286.061,672,0.059584397976742996,0.005,2020-02-14 00:00:00+00:00,4.0,TP1+TP2+TP3,0.00011916879595348599,0.000141668795953486,0.010989162408093021,0.18443019953616574,2.197832481618604,True,True,True,True,2020,ALL
ETHUSDT,LONG,1d,2020-02-17 00:00:00+00:00,258.89,226.289,291.491,324.092,356.693,672,0.04014217113828275,0.005054945812040465,2020-02-26 00:00:00+00:00,9.0,STOP,8.028434227656551e-05,7.017445065248456e-05,-0.00520540460496952,-0.12967421684885486,-1.029764669795406,False,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-06-01 00:00:00+00:00,9448.27,8516.87,10379.67,11311.07,12242.470000000001,672,0.05101415345361027,0.005028918789015617,2020-06-02 00:00:00+00:00,1.0,TP1+STOP,0.00010202830690722054,0.00010454276630172835,0.001050658624044956,0.020595433873079414,0.2089233626798369,True,False,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-06-08 00:00:00+00:00,244.57,218.856,270.284,295.998,321.712,672,0.04788082235855809,0.0050341720821358415,2020-06-15 00:00:00+00:00,7.0,STOP,9.576164471711618e-05,8.569330055284449e-05,-0.005215627027405804,-0.10892935355930822,-1.0360446449404996,False,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-06-08 00:00:00+00:00,17.4134,15.804559999999999,19.02224,20.63108,22.23992,672,0.05448773783288843,0.0050341720821358415,2020-06-15 00:00:00+00:00,7.0,STOP,0.00010897547566577687,9.890713150150518e-05,-0.005242054689303126,-0.09620613550484118,-1.0412942989980363,False,False,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-06-22 00:00:00+00:00,228.03,207.335,248.725,269.41999999999996,290.115,672,0.05474876570464978,0.004968757208515226,2020-06-25 00:00:00+00:00,3.0,TP1+STOP,0.00010949753140929957,0.00011198191001355718,0.0010207098607059584,0.01864352278209023,0.2054255858903134,True,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-06-08 00:00:00+00:00,9746.99,8842.294,10651.686,11556.382,12461.078000000001,672,0.05423703093951696,0.005034172082135842,2020-06-27 00:00:00+00:00,19.0,STOP,0.00010847406187903393,9.840571771476226e-05,-0.005241051861729636,-0.09663235193634132,-1.0410950949269142,False,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-07-13 00:00:00+00:00,18.3036,16.980339999999998,19.62686,20.95012,22.273379999999996,672,0.06901295715532572,0.004989296405371425,2020-07-16 00:00:00+00:00,3.0,STOP,0.00013802591431065145,0.00012804732149990862,-0.005255369641181975,-0.07615047750169358,-1.05332880915315,False,False,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-06-29 00:00:00+00:00,224.89,204.67,245.10999999999999,265.33,285.54999999999995,672,0.055174592274091244,0.004960781963547178,2020-07-24 00:00:00+00:00,25.0,TP1+TP2+TP3,0.00011034918454818249,0.00013267270338414479,0.010918737530048817,0.1978943038818977,2.2010113748763587,True,True,True,True,2020,ALL
BTCUSDT,LONG,1d,2020-06-29 00:00:00+00:00,9116.16,8478.894,9753.426,10390.692,11027.957999999999,672,0.07096452988988942,0.004960781963547179,2020-07-27 00:00:00+00:00,28.0,TP1+MAX_HOLD,0.00014192905977977884,0.0001539304099781993,0.0057048156294522406,0.08038967690343322,1.1499831420474373,True,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-07-27 00:00:00+00:00,9931.54,9545.117,10317.963000000002,10704.386,11090.809000000001,672,0.1289589966149657,0.005017622881138774,2020-07-27 00:00:00+00:00,0.0,TP1+TP2+TP3,0.00025791799322993144,0.0002804972961950559,0.010751236193137233,0.08336941566967458,2.142695146251642,True,True,True,True,2020,ALL
ETHUSDT,LONG,1d,2020-07-27 00:00:00+00:00,311.02,288.419,333.621,356.222,378.823,672,0.06904920439324728,0.005017622881138776,2020-08-01 00:00:00+00:00,5.0,TP1+TP2+TP3,0.00013809840878649458,0.00016067771175161906,0.01099087536202413,0.15917454022249372,2.1904546480244234,True,True,True,True,2020,ALL
BNBUSDT,LONG,1d,2020-07-27 00:00:00+00:00,19.5524,17.71973,21.38507,23.21774,25.05041,672,0.053532043205365816,0.005017622881138775,2020-08-02 00:00:00+00:00,6.0,TP1+STOP,0.00010706408641073163,0.00010957289785130103,0.001037768736022659,0.01938593548618069,0.2068247775104079,True,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-08-03 00:00:00+00:00,20.9899,18.86524,23.114559999999997,25.23922,27.363879999999998,672,0.05069523573627519,0.0051315222825946945,2020-08-10 00:00:00+00:00,7.0,TP1+EARLY_RISK_OFF,0.00010139047147255039,0.00010914593755709766,0.0036671966332439804,0.0723380921300244,0.714641081396553,True,False,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-08-03 00:00:00+00:00,372.45,330.94899999999996,413.951,455.452,496.95300000000003,672,0.04605275714205423,0.005131522282594695,2020-08-25 00:00:00+00:00,22.0,TP1+STOP,9.210551428410846e-05,9.467127542540582e-05,0.0010961037809391566,0.023801045777956734,0.2136020698296421,True,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-08-03 00:00:00+00:00,11071.36,10243.486,11899.234,12727.108,13554.982,672,0.06862509335795981,0.005131522282594695,2020-08-31 00:00:00+00:00,28.0,TP1+MAX_HOLD,0.00013725018671591964,0.00014576467786618012,0.0039742307105481356,0.057912208436903576,0.7744740238248778,True,False,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-08-31 00:00:00+00:00,428.94,378.561,479.319,529.698,580.077,672,0.04421348517298272,0.005192873524338362,2020-09-02 00:00:00+00:00,2.0,TP1+STOP,8.842697034596544e-05,9.102340710813462e-05,0.0011187680036304844,0.025303773255000567,0.21544295242065029,True,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-08-24 00:00:00+00:00,21.8575,19.32841,24.38659,26.915680000000002,29.444770000000005,672,0.04479466216704889,0.00518310566808014,2020-09-03 00:00:00+00:00,10.0,TP1+STOP,8.958932433409777e-05,9.218087716813785e-05,0.0011140062155177964,0.02486917328148226,0.2149302535694651,True,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-08-31 00:00:00+00:00,11711.17,10935.515,12486.825,13262.48,14038.135,672,0.07840421918510891,0.005192873524338362,2020-09-03 00:00:00+00:00,3.0,STOP,0.00015680843837021782,0.00014642269132154108,-0.005496104654030118,-0.07009960319933876,-1.0583937059646358,False,False,False,True,2020,ALL
BNBUSDT,LONG,1d,2020-09-07 00:00:00+00:00,23.1612,19.25893,27.063470000000002,30.96574,34.86801,672,0.030619654502820393,0.005158893286043942,2020-09-15 00:00:00+00:00,8.0,TP1+TP2+STOP,6.123930900564079e-05,7.413654222075062e-05,0.006313240756328537,0.20618262546845592,1.2237587417067501,True,True,False,True,2020,ALL
ETHUSDT,LONG,1d,2020-09-07 00:00:00+00:00,352.85,283.338,422.362,491.874,561.386,672,0.02618706836201815,0.005158893286043943,2020-10-05 00:00:00+00:00,28.0,MAX_HOLD,5.23741367240363e-05,5.2298436540589335e-05,-0.0001425226649881059,-0.005442482641349097,-0.02762659684658806,False,False,False,True,2020,ALL
BTCUSDT,LONG,1d,2020-09-07 00:00:00+00:00,10255.89,9315.498,11196.282,12136.673999999999,13077.065999999999,672,0.05626275219632368,0.005158893286043942,2020-10-05 00:00:00+00:00,28.0,MAX_HOLD,0.00011252550439264736,0.00011703194902292247,0.0020236648617219873,0.03596811003238156,0.3922672459995425,False,False,False,True,2020,ALL
