period,days,total_return,cagr,sharpe,max_drawdown,positive_month_rate,annual_turnover,average_exposure
FULL,3300,1.2221689632708572,0.09236373295682143,0.7645377762452007,-0.2926344252023094,0.3486238532110092,3.2967349932342866,0.13565538434621138
DEVELOPMENT,1597,0.9171761605122799,0.16049662838368262,1.1939446076741091,-0.1597388556325643,0.39622641509433965,1.9451804265530848,0.10830501592683286
BEAR_2022,365,-0.14010713450471368,-0.1404636502883112,-1.7235550272547393,-0.14939118125563167,0.0,1.6911722111262715,0.0177630543506567
VALIDATION_2022_2023,730,-0.027009428701249782,-0.013615679904585898,-0.05998460089098935,-0.22882274684582948,0.2916666666666667,4.481125965031394,0.13426387931815312
HOLDOUT_2024_PLUS,973,0.19125963356718523,0.06792685456212277,0.5957353707397146,-0.1575990187575863,0.3125,4.634444396495166,0.18158995478426895
RECENT_2025_PLUS,607,0.033903487035662705,0.020284883444822155,0.24841664349370077,-0.1024694243068961,0.3,3.842405819746682,0.14751593863064047
