period,days,total_return,cagr,sharpe,max_drawdown,positive_month_rate,annual_turnover,average_exposure
FULL,3300,1.2894045859681693,0.0959722411827062,0.7906886854288451,-0.28562832806008664,0.3669724770642202,3.2967349932342866,0.13565538434621138
DEVELOPMENT,1597,0.9335556853297085,0.16275667316496278,1.2085434325624569,-0.1585638178001444,0.39622641509433965,1.9451804265530848,0.10830501592683286
BEAR_2022,365,-0.13865516094137864,-0.13900828806205945,-1.7045961256910487,-0.14853477266458182,0.0,1.6911722111262715,0.0177630543506567
VALIDATION_2022_2023,730,-0.018258256213405044,-0.00918370596243423,-0.02137733391341925,-0.2228175464529606,0.2916666666666667,4.481125965031394,0.13426387931815312
HOLDOUT_2024_PLUS,973,0.2060591468879831,0.07288971935260613,0.6333896388668963,-0.15418936090623225,0.375,4.634444396495166,0.18158995478426895
RECENT_2025_PLUS,607,0.04052335431107901,0.024214582932214235,0.28620582305238024,-0.10150368878001292,0.4,3.842405819746682,0.14751593863064047
