year,days,total_return,cagr,sharpe,max_drawdown,positive_month_rate,annual_turnover,average_exposure
2017,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,365,-0.04113109360523526,-0.04124172834375528,-0.7663210759629729,-0.0660578708063515,0.16666666666666666,0.812059998831277,0.022239939925908437
2019,365,0.18583599316637045,0.18639140720643588,1.504862823196845,-0.07931220548351292,0.5,1.9603722900049405,0.11059612817304208
2020,366,0.25037413224124805,0.25037413224124805,1.450050501141856,-0.13228219903589478,0.5,3.040091217074991,0.17827028194515254
2021,365,0.3484603332793179,0.3495683166610537,1.7469231360683282,-0.11677077717645667,0.5833333333333334,2.7079926192581567,0.1622767736633132
2022,365,-0.14010713450471368,-0.1404636502883112,-1.7235550272547393,-0.14939118125563167,0.0,1.6911722111262715,0.0177630543506567
2023,365,0.13152534500716073,0.13190952758354357,0.9556349972183596,-0.15502581193767817,0.5833333333333334,7.283390504554735,0.25076470428564956
2024,366,0.15219616579752704,0.15219616579752704,1.0065439127568014,-0.1575990187575863,0.3333333333333333,5.962142538703596,0.23810068649260904
2025,365,0.03409795818127748,0.03419321750402182,0.32444264511427706,-0.1024694243068961,0.5,5.9968677628469065,0.23759215942956768
2026,242,-0.00018805872700566884,-0.0002848054538007183,0.0024360542169972665,-0.0176666573087626,0.0,0.6043073074282773,0.011657175855399101
