test_year,symbol,side,trades,profit_factor,mean_r,eligible
2022,BNBUSDT,LONG,19,1.9983654303590626,0.44491847706209514,True
2022,BTCUSDT,LONG,16,0.7218113115198393,-0.16885127105362735,False
2022,BTCUSDT,SHORT,4,4.113647785360372,0.7948258874381962,False
2022,ETHUSDT,LONG,15,2.839305513343028,0.5944743415159527,True
2022,SOLUSDT,LONG,13,3.0158882244011256,0.51620760174596,True
2023,BNBUSDT,LONG,22,1.7078466357517819,0.3458470563047207,True
2023,BNBUSDT,SHORT,6,0.38134221244588123,-0.35031021144935304,False
2023,BTCUSDT,LONG,17,0.6493910230242445,-0.22271627089961282,False
2023,BTCUSDT,SHORT,8,2.535262289508094,0.6225572465524002,True
2023,ETHUSDT,LONG,17,2.3187977832564237,0.47085563365552696,True
2023,ETHUSDT,SHORT,4,2.4854248519088773,0.6087976958411749,False
2023,SOLUSDT,LONG,14,2.2698122477196674,0.4051559741177794,True
2023,SOLUSDT,SHORT,3,3.0550183603528724,0.7230144874985213,False
2024,BNBUSDT,LONG,20,1.8167068787142626,0.4106409400019535,True
2024,BNBUSDT,SHORT,9,0.7942452412150198,-0.10987244279062075,False
2024,BTCUSDT,LONG,16,0.87669427923213,-0.07610206277097206,False
2024,BTCUSDT,SHORT,9,0.9900131454048764,0.00609486564669775,False
2024,ETHUSDT,LONG,16,2.6250587904503235,0.6080189341679563,True
2024,ETHUSDT,SHORT,6,1.5481672315862642,0.24925624139200428,False
2024,SOLUSDT,LONG,21,3.176914999759124,0.6746616734255839,True
2024,SOLUSDT,SHORT,7,1.0406912250440048,0.030011647115075916,False
2025,BNBUSDT,LONG,14,0.6841324543161866,-0.1844313309395609,False
2025,BNBUSDT,SHORT,10,0.8246078695552911,-0.08428953097854006,False
2025,BTCUSDT,LONG,17,1.6130755109505073,0.262817642422159,True
2025,BTCUSDT,SHORT,10,0.3477240550909391,-0.5405733046346974,False
2025,ETHUSDT,LONG,13,2.089198486592024,0.46204213559099033,True
2025,ETHUSDT,SHORT,7,1.6126265921437943,0.23708831795522523,False
2025,SOLUSDT,LONG,13,3.024266495656646,0.6628238004603156,True
2025,SOLUSDT,SHORT,7,1.042125785828537,0.03001164711507585,False
2026,BNBUSDT,LONG,18,0.9713123599548676,-0.014164425703597624,False
2026,BNBUSDT,SHORT,4,2.5132807038751226,0.4180652016481457,False
2026,BTCUSDT,LONG,19,1.776522352943759,0.30013171913603276,True
2026,BTCUSDT,SHORT,7,0.2787071551515821,-0.5438068019173523,False
2026,ETHUSDT,LONG,16,2.5271048172584436,0.6250835268646555,True
2026,ETHUSDT,SHORT,7,0.39666065661523564,-0.1806021195290885,False
2026,SOLUSDT,LONG,16,2.980194009225173,0.5492577259879634,True
2026,SOLUSDT,SHORT,8,0.27543388927361623,-0.5592565931179202,False
