symbol,side,timeframe,entry_time,entry,initial_stop,tp1,tp2,tp3,max_holding_hours,initial_notional,initial_risk_cash,exit_time,holding_days,exit_reason,entry_fee,exit_fees,net_pnl,net_return_on_notional,realized_r,tp1_hit,tp2_hit,tp3_hit,paper_only
BNBUSDT,LONG,1d,2019-04-08 00:00:00+00:00,18.9507,16.80862,21.09278,23.23486,25.376940000000005,672,0.04423434232148193,0.005,2019-04-11 00:00:00+00:00,3.0,STOP,4.423434232148193e-05,3.923434232148193e-05,-0.005083468684642962,-0.11492131266918895,-1.0166937369285924,False,False,False,True
BNBUSDT,LONG,1d,2019-04-15 00:00:00+00:00,19.3734,17.09749,21.64931,23.92522,26.20113,672,0.04234551438278522,0.004974582656576785,2019-04-24 00:00:00+00:00,9.0,TP1+TP2+STOP,4.234551438278522e-05,4.856374270350621e-05,0.006127319063634694,0.1446981847533216,1.231725249460656,True,True,False,True
BNBUSDT,LONG,1d,2019-04-29 00:00:00+00:00,23.0166,19.71517,26.31803,29.619459999999997,32.92089,672,0.03489491809099861,0.00500521925189496,2019-05-08 00:00:00+00:00,9.0,STOP,3.489491809099861e-05,2.988969883910365e-05,-0.005070003868825063,-0.1452934738406194,-1.0129434124000813,False,False,False,True
BTCUSDT,LONG,1d,2019-05-13 00:00:00+00:00,6968.24,6389.495,7546.985,8125.73,8704.475,672,0.0599589179708335,0.004979869232550835,2019-05-17 00:00:00+00:00,4.0,TP1+TP2+STOP,5.99589179708335e-05,6.618375451152204e-05,0.006098693868206193,0.10171454179965106,1.2246694809458407,True,True,False,True
BNBUSDT,LONG,1d,2019-05-13 00:00:00+00:00,20.9026,17.59573,24.20947,27.51634,30.823209999999996,672,0.03147756477282659,0.004979869232550834,2019-05-17 00:00:00+00:00,4.0,TP1+TP2+STOP,3.1477564772826586e-05,3.770240131351513e-05,0.0061556565746021955,0.19555695045113988,1.2361080757634852,True,True,False,True
BNBUSDT,LONG,1d,2019-05-20 00:00:00+00:00,29.1122,24.78263,33.441770000000005,37.77134,42.10091,672,0.03389683145824458,0.005041140984764875,2019-06-04 00:00:00+00:00,15.0,TP1+STOP,3.389683145824458e-05,3.5157116704435804e-05,0.0011912312980285368,0.0351428510212213,0.23630192086050084,True,False,False,True
BNBUSDT,LONG,1d,2019-06-10 00:00:00+00:00,30.1174,25.17532,35.05948,40.00156,44.943639999999995,672,0.030555348214024152,0.005013944606824112,2019-06-14 00:00:00+00:00,4.0,TP1+STOP,3.055534821402415e-05,3.1808834365730184e-05,0.0011911219691262697,0.03898243805906208,0.23756185249935172,True,False,False,True
BTCUSDT,LONG,1d,2019-05-20 00:00:00+00:00,8147.94,7190.932,9104.948,10061.955999999998,11018.964,672,0.04292013679656295,0.005041140984764874,2019-06-17 00:00:00+00:00,28.0,TP1+MAX_HOLD,4.292013679656295e-05,4.7360976145641613e-05,0.004350558236136461,0.10136403471306862,0.86301062582549,True,False,False,True
ETHUSDT,LONG,1d,2019-05-20 00:00:00+00:00,259.37,221.875,296.865,334.36,371.85499999999996,672,0.03487186924172465,0.005041140984764875,2019-06-17 00:00:00+00:00,28.0,MAX_HOLD,3.4871869241724646e-05,3.599585747035872e-05,0.001053120501921989,0.030199714693295437,0.20890518735831545,False,False,False,True
BTCUSDT,LONG,1d,2019-06-17 00:00:00+00:00,8953.0,8073.4619999999995,9832.538,10712.076000000001,11591.614000000001,672,0.05171109941732281,0.005080071144790942,2019-06-25 00:00:00+00:00,8.0,TP1+TP2+TP3,5.171109941732281e-05,6.314125949310243e-05,0.011315307716869194,0.21881777499162308,2.2273915845591663,True,True,True,True
