time,symbol,event,price,fee
2020-02-14 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,285.15,7.559186366577764e-05
2020-02-17 00:00:00+00:00,ETHUSDT,ENTRY,258.89,8.136880125732412e-05
2020-02-26 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,223.93,7.11223479768188e-05
2020-06-01 00:00:00+00:00,BTCUSDT,ENTRY,9448.27,0.00010340647742689643
2020-06-01 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,10200.77,2.840004338237672e-05
2020-06-02 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,9518.04,7.755485807017231e-05
2020-06-08 00:00:00+00:00,BTCUSDT,ENTRY,9746.99,0.00010993929989741177
2020-06-08 00:00:00+00:00,ETHUSDT,ENTRY,244.57,9.705516687449961e-05
2020-06-08 00:00:00+00:00,BNBUSDT,ENTRY,17.4134,0.00011044748664471828
2020-06-15 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,230.86,8.685082226554969e-05
2020-06-15 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,16.377,0.00010024314203576836
2020-06-22 00:00:00+00:00,ETHUSDT,ENTRY,228.03,0.0001109765941747222
2020-06-24 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,234.58,3.0262085455979237e-05
2020-06-25 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,232.5,8.323244563104165e-05
2020-06-27 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,9012.0,9.973495528846185e-05
2020-06-29 00:00:00+00:00,BTCUSDT,ENTRY,9116.16,0.0001438461987777991
2020-06-29 00:00:00+00:00,ETHUSDT,ENTRY,224.89,0.00011183975121173474
2020-07-08 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,246.95,3.0473833229032308e-05
2020-07-13 00:00:00+00:00,BNBUSDT,ENTRY,18.3036,0.00013989033068509185
2020-07-16 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,17.1647,0.00012977694976645538
2020-07-22 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,263.74,3.298772865513093e-05
2020-07-24 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,279.15,7.10032481624591e-05
2020-07-26 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,9931.54,3.84754451205484e-05
2020-07-27 00:00:00+00:00,BTCUSDT,MAX_HOLD,9931.54,0.00011753421481821811
2020-07-27 00:00:00+00:00,BTCUSDT,ENTRY,9931.54,0.0002614018790802249
2020-07-27 00:00:00+00:00,ETHUSDT,ENTRY,311.02,0.0001399638043965263
2020-07-27 00:00:00+00:00,BNBUSDT,ENTRY,19.5524,0.00010851027886535585
2020-07-27 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,11029.96,0.00028428617710647155
2020-07-30 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,334.87,3.753365087982566e-05
2020-08-01 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,387.0,0.0001253144515429474
2020-08-01 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,21.6168,2.9670269497033043e-05
2020-08-02 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,20.9898,8.138270914901688e-05
2020-08-03 00:00:00+00:00,BTCUSDT,ENTRY,11071.36,0.0001391041247737559
2020-08-03 00:00:00+00:00,ETHUSDT,ENTRY,372.45,9.334965042959383e-05
2020-08-03 00:00:00+00:00,BNBUSDT,ENTRY,20.9899,0.00010276002628528071
2020-08-05 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,23.2728,2.829042531375445e-05
2020-08-06 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,11762.46,3.737644993587324e-05
2020-08-10 00:00:00+00:00,BNBUSDT,EARLY_RISK_OFF,22.4224,8.232982577498267e-05
2020-08-13 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,424.54,2.5937831349832728e-05
2020-08-24 00:00:00+00:00,BNBUSDT,ENTRY,21.8575,9.079947247256695e-05
2020-08-25 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,382.93,7.001223782219537e-05
2020-08-31 00:00:00+00:00,BTCUSDT,MAX_HOLD,11711.17,0.00011035717741045364
2020-08-31 00:00:00+00:00,BTCUSDT,ENTRY,11711.17,0.00015892656395270703
2020-08-31 00:00:00+00:00,ETHUSDT,ENTRY,428.94,8.962141772404339e-05
2020-09-01 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,24.7028,2.5326426940464103e-05
2020-09-01 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,475.4,2.5036863152230357e-05
2020-09-02 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,439.5,6.721606329303255e-05
2020-09-03 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,20.3592,6.80996043544252e-05
2020-09-03 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,10140.85,0.00014840052906782896
2020-09-07 00:00:00+00:00,BTCUSDT,ENTRY,10255.89,0.00011404546819060224
2020-09-07 00:00:00+00:00,ETHUSDT,ENTRY,352.85,5.3081592266665055e-05
2020-09-07 00:00:00+00:00,BNBUSDT,ENTRY,23.1612,6.2066512875579e-05
2020-09-12 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,28.505,1.8130917323075293e-05
2020-09-13 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,31.1656,2.074520642725584e-05
2020-09-15 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,27.1181,3.626183464615059e-05
2020-09-21 00:00:00+00:00,BNBUSDT,ENTRY,26.3167,4.475337239296871e-05
2020-10-05 00:00:00+00:00,BTCUSDT,MAX_HOLD,10666.62,0.00011861278464484719
2020-10-05 00:00:00+00:00,ETHUSDT,MAX_HOLD,352.34,5.3004869545803494e-05
2020-10-05 00:00:00+00:00,BTCUSDT,ENTRY,10666.62,0.00018080163330227606
2020-10-05 00:00:00+00:00,ETHUSDT,ENTRY,352.34,9.551052076464323e-05
2020-10-10 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,11293.22,4.784101643250714e-05
2020-10-12 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,386.51,2.6518238298098935e-05
