period,days,total_return,cagr,sharpe,max_drawdown,trades,win_rate,profit_factor,mean_r,median_holding_days
FULL,3165,0.2620577732367424,0.027213057530923512,0.6188265722829476,-0.08981465233518571,272,0.5551470588235294,1.4243514377226631,0.17805661806374792,8.0
DEVELOPMENT,1461,0.18691833440178085,0.04377095989262325,1.0037080241616851,-0.057614890134742636,126,0.6111111111111112,1.787290660657139,0.2810338011763639,8.0
BEAR_2022,365,0.0016750580791431435,0.0016796637496387934,1.1350553945897282,-9.579063353659656e-05,0,0.0,0.0,0.0,0.0
VALIDATION_2022_2023,730,0.04874800881507335,0.0241174174732548,0.6163343541714835,-0.05362441806977725,52,0.5192307692307693,1.4571675594981406,0.17855554709296112,7.5
EVALUATION_2024_PLUS,974,0.013881615900629196,0.005184972554561851,0.12776539104628354,-0.0866618377044962,94,0.5,1.0733303749259488,0.0397473693221661,8.0
RECENT_2025_PLUS,608,-0.0015989249555256047,-0.0009617689647413163,-0.0077594734816406235,-0.04609744977928465,40,0.525,0.9273196040178464,-0.02289565271937404,7.0
